leiden_resolution_1.5_C14,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,T cells,Yes,Treg,Yes,Treg CD4 memory,Yes
1,T cells,Yes,Treg,Yes,Treg CD4 naive,Yes
2,T cells,Yes,Treg,Yes,Treg CD4 naive,Yes
3,T cells,Yes,Treg,Yes,Treg CD4 naive,Yes
4,T cells,Yes,Treg,Yes,Treg CD4 naive,Yes
5,T cells,Yes,Treg,Yes,Treg CD4 memory,Yes
6,T cells,Yes,Treg,Yes,Treg CD4 memory,Yes
7,T cells,Yes,Treg,Yes,Treg CD4 KLRB1+ memory,Yes
8,T cells,Yes,Treg,Yes,Treg CD4 memory,Yes
9,T cells,Yes,Treg,Yes,Treg CD4 naive,Yes
10,T cells,Yes,Treg,Yes,Treg CD4 GZMK+ memory,Yes
11,T cells,Yes,Treg,Yes,Treg CD4 memory,Yes
12,T cells,Yes,Treg,Yes,Treg CD4 memory,Yes
13,T cells,Yes,Treg,Yes,Treg CD8 KLRB1+ memory,Yes
14,T cells,Yes,Treg,Yes,Treg CD8 memory,Yes
15,T cells,Yes,Treg,Yes,Treg CD4 naive,Yes
