leiden_resolution_1.5_C21,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
1,T cells,Yes,CD4 Proliferating,Yes,CD4 Proliferating,Yes
2,T cells,Yes,CD4 Proliferating,Yes,CD4 Proliferating,Yes
3,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
4,T cells,Yes,CD8 Proliferating,Yes,CD8 Proliferating,Yes
5,T cells,Yes,CD4 Proliferating,Yes,CD4 Proliferating,Yes
6,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
7,T cells,Yes,CD8 Proliferating,Yes,CD8 Proliferating,Yes
8,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
9,T cells,Yes,CD8 Proliferating,Yes,CD8 Proliferating,Yes
10,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
11,Doublets,Yes,Proliferating Cells+Monocytes Doublets,Yes,Proliferating Cells+Monocytes Doublets,Yes
12,T cells,Yes,CD4 Proliferating,Yes,CD4 Proliferating,Yes
13,T cells,Yes,CD4 Proliferating,Yes,CD4 Proliferating,Yes
14,NK cells,Yes,NK Proliferating,Yes,NK Proliferating,Yes
