leiden_resolution_1.5_C13,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,T cells,Yes,CD8 aa,Yes,CD8 aa,Yes
1,T cells,Yes,gdT,No,gdT,No
2,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
3,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
4,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
5,T cells,Yes,CD8 memory,Yes,CD8 GZMK- CD27+ EM,Yes
6,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
7,T cells,Yes,CD8 memory,Yes,CD8 GZMK- CD27+ EM,Yes
8,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
9,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
10,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
11,T cells,Yes,gdT,No,gdT,No
12,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
13,T cells,Yes,CD8 memory,Yes,CD8 CM,Yes
